"soloistinstrument","cleaname"
"Tuba","Leroy Anderson"
"Chorus","Leroy Anderson"
"French Horn","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Percussion","Leroy Anderson"
"French Horn","Leroy Anderson"
"Brass Quintet","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Soprano","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Trombone","Leroy Anderson"
"Trumpet","Leroy Anderson"
"French Horn","Leroy Anderson"
"Brass Quintet","Leroy Anderson"
"Trombone","Leroy Anderson"
"Trombone","Leroy Anderson"
"Brass Quintet","Leroy Anderson"
"French Horn","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Ensemble","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Flute","Leroy Anderson"
"Tuba","Leroy Anderson"
"Ensemble","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Band","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Tuba","Leroy Anderson"
"Bass Trombone","Leroy Anderson"
"Dancer","Paquita Anderson"
"Dancer","Paquita Anderson"
"Dancer","Paquita Anderson"
"Dancer","Paquita Anderson"
"Dancer","Paquita Anderson"
"Dancer","Paquita Anderson"
"Dancer","Paquita Anderson"
"Dancer","Paquita Anderson"
"Dancer","Paquita Anderson"
"Dancer","Paquita Anderson"
"Dancer","Paquita Anderson"
"Percussion","Paquita Anderson"
"Percussion","Paquita Anderson"
"Piano","Paquita Anderson"
"Narrator","Paquita Anderson"
"Percussion","Paquita Anderson"
"Dancer","Paquita Anderson"
"Dancer","Paquita Anderson"
"Dancer","Paquita Anderson"
"Dancer","Paquita Anderson"
"Percussion","Paquita Anderson"
"Piano","Paquita Anderson"
"Dancer","Paquita Anderson"
"Percussion","Robert Alex Anderson"
"Tuba","Robert Alex Anderson"
"Contrabass","Robert Alex Anderson"
"Dancer","Andre"
"Percussion","Andre"
"Piano","Andre"
"Percussion","Andre"
"Dancer","Andre"
"Harp","Bernard Andres"
"Bassoon","Bernard Andres"
"Cello","Timo Andres"
"Violin","Timo Andres"
"Viola","Timo Andres"
"Violin","Timo Andres"
"Mezzo-Soprano","Louis Andriessen"
"Mezzo-Soprano","Louis Andriessen"
"Mezzo-Soprano","Louis Andriessen"
"Mezzo-Soprano","Louis Andriessen"
"Piano","Anthem"
"Contralto","Anthem"
"Piano","Anthem"
"Soprano","Anthem"
"Piano","Anthem"
